Country name,Country code,Year,Financial institution account ratio,Mobile money account ratio
Senegal,SEN,2014,1.945897423,1.660032823
Senegal,SEN,2017,1.623692313,1.200744407
Senegal,SEN,2021,1.337263964,1.363195632
Sierra Leone,SLE,2011,1.409704624,
Sierra Leone,SLE,2014,1.581967753,1.502971583
Sierra Leone,SLE,2017,1.558144674,1.555791519
Sierra Leone,SLE,2021,1.658275521,1.28435857
Somalia,SOM,2014,1.595225183,1.309763765
South Africa,ZAF,2011,1.104984638,
South Africa,ZAF,2014,1.000064055,1.08215371
South Africa,ZAF,2017,0.979008676,1.041773218
South Africa,ZAF,2021,0.981209785,0.874608316
South Sudan,SSD,2017,2.655445273,
South Sudan,SSD,2021,1.77059735,3.918782682
Sudan,SDN,2011,2.169166159,
Sudan,SDN,2014,2.025793833,
Tanzania,TZA,2011,1.504259136,
Tanzania,TZA,2014,1.232309889,1.443944714
Tanzania,TZA,2017,1.214826381,1.328843534
Tanzania,TZA,2021,2.001114749,1.221648075
Togo,TGO,2011,1.213608815,
Togo,TGO,2014,1.44765076,1.13195532
Togo,TGO,2017,1.382160336,1.687465218
Togo,TGO,2021,1.330347165,1.293621926
Uganda,UGA,2011,1.711619479,
Uganda,UGA,2014,1.403811076,1.419951548
Uganda,UGA,2017,1.43504593,1.36466609
Uganda,UGA,2021,1.07419188,1.025811215
Zambia,ZMB,2011,0.830981019,
Zambia,ZMB,2014,1.109112939,1.567262749
Zambia,ZMB,2017,1.518917301,1.159662533
Zambia,ZMB,2021,1.242927131,1.126873217
Zimbabwe,ZWE,2011,1.146026956,
Zimbabwe,ZWE,2014,1.247160022,1.267621303
Zimbabwe,ZWE,2017,1.433188323,1.107599854
Zimbabwe,ZWE,2021,1.460951908,1.212412291
Sub-Saharan Africa (excluding high income),SSA,2011,1.238385014,
Sub-Saharan Africa (excluding high income),SSA,2014,1.30049528,1.24348072
Sub-Saharan Africa (excluding high income),SSA,2017,1.402095142,1.274979907
Sub-Saharan Africa (excluding high income),SSA,2021,1.35999929,1.204374444
